nom_commune,n,prix_m2,lat,lon
Martignas-sur-Jalle,90,3556.4988290398123,44.841505,-0.777509
Martillac,20,3475.71159727123,44.7169935,-0.54849
Mios,94,3652.400303030303,44.611761,-0.928814
Monségur,16,1444.7777777777778,44.650094499999994,0.079167
Montagne,12,2117.1587505348734,44.936639,-0.133001
Montussan,27,2957.1428571428573,44.88108,-0.424563
Moulis-en-Médoc,17,2110.458333333333,45.059421,-0.7685379999999999
Moulon,21,2428.5714285714284,44.846953,-0.223638
Mérignac,1086,3579.248456790124,44.838379,-0.645103
Noaillan,22,2062.4293785310733,44.491057,-0.36193
Paillet,12,2037.7083333333335,44.6859925,-0.36276149999999996
Parempuyre,116,3338.0952380952376,44.95021,-0.603964
Pauillac,51,1500.0,45.198847,-0.750926
Pessac,670,3648.266550522648,44.800114,-0.6434065
Peujard,17,2488.267716535433,45.044892,-0.423131
Pineuilh,57,1441.1764705882354,44.836757,0.226631
Podensac,26,2180.841121495327,44.650744,-0.357735
Pompignac,13,2975.0,44.852662,-0.441403
Portets,33,2397.9591836734694,44.691066,-0.423014
Preignac,20,1963.4265734265734,44.579482999999996,-0.299859
Préchac,12,1209.560975609756,44.3986155,-0.3532895
Pugnac,22,1928.687360519375,45.082898,-0.490999
Périssac,11,2016.6666666666667,45.02948,-0.313332
Quinsac,21,2785.714285714286,44.755045,-0.483682
Reignac,14,1270.1612903225805,45.2305785,-0.4998865
Rions,15,1636.3636363636365,44.664167,-0.351444
Sadirac,34,2992.230834874129,44.7813975,-0.410451
Saint-André-de-Cubzac,127,2517.8899082568805,44.996744,-0.440852
Saint-Aubin-de-Blaye,13,1387.0967741935483,45.263929,-0.562792
Saint-Aubin-de-Médoc,54,3685.374149659864,44.915129,-0.724364
Saint-Caprais-de-Bordeaux,32,2928.931875525652,44.748312,-0.4327585
Saint-Christoly-de-Blaye,18,1619.1815856777494,45.1330265,-0.508634
Saint-Ciers-sur-Gironde,21,1414.4144144144143,45.288355,-0.609616
Saint-Denis-de-Pile,33,1871.590909090909,44.988902,-0.202827
Saint-Estèphe,14,1615.4306220095693,45.25917,-0.779468
Saint-Germain-d'Esteuil,14,1818.7016620042782,45.275413,-0.876086
Saint-Germain-du-Puch,20,2486.5196078431372,44.853689,-0.330806
Saint-Gervais,25,2170.731707317073,45.018196,-0.459937
Saint-Jean-d'Illac,94,3647.3544973544977,44.806793,-0.779035
Saint-Laurent-Médoc,38,2048.1859410430843,45.1495865,-0.821742
Saint-Laurent-d'Arce,11,2062.5,45.037749,-0.470971
Saint-Loubès,65,2760.555555555556,44.916242499999996,-0.433232
Saint-Louis-de-Montferrand,19,2267.4418604651164,44.94768,-0.533423
Saint-Macaire,24,2087.5415282392028,44.565596,-0.234642
Saint-Magne-de-Castillon,17,1875.0,44.849459,-0.060315
Saint-Maixant,16,2187.191842223218,44.570467,-0.246212
Saint-Mariens,13,1970.0,45.116127,-0.39908
Saint-Martin-Lacaussade,14,1546.3875205254517,45.136406,-0.649112
Saint-Médard-d'Eyrans,24,3023.721238938053,44.7159835,-0.5120245000000001
Saint-Médard-de-Guizières,34,1588.142523364486,45.015335,-0.058908
Saint-Médard-en-Jalles,340,3604.565289648623,44.893489,-0.727004
Saint-Pierre-d'Aurillac,10,1333.7993165579373,44.5764305,-0.191011
Saint-Quentin-de-Baron,31,2301.818181818182,44.822935,-0.295257
Saint-Sauveur,10,2179.2612859097126,45.2002765,-0.827345
Saint-Savin,32,1865.707434052758,45.1384615,-0.443304
Saint-Selve,23,2866.6666666666665,44.668544,-0.477221
Saint-Seurin-de-Cursac,15,1579.7101449275362,45.158257,-0.620471
Saint-Seurin-sur-l'Isle,42,1545.6220683493411,45.014013,0.004677
Saint-Sulpice-et-Cameyrac,22,2783.9523281596453,44.9065645,-0.38715750000000004
Saint-Symphorien,11,1803.076923076923,44.429264,-0.489917
Saint-Vincent-de-Paul,12,2486.842105263158,44.956464,-0.4711505
Saint-Vivien-de-Médoc,11,1791.139240506329,45.43041,-1.030457
Saint-Yzan-de-Soudiac,14,2170.287698412699,45.141591,-0.401308
Saint-Émilion,20,2621.4927477477477,44.892883,-0.1562
Sainte-Eulalie,29,2792.957746478873,44.905304,-0.476459
Sainte-Foy-la-Grande,36,987.5,44.841355,0.216873
Sainte-Hélène,22,2712.001828631139,44.966629999999995,-0.8840330000000001
Sainte-Terre,17,2105.2631578947367,44.827995,-0.12477250000000001
Salaunes,12,3446.2875,44.93614,-0.83811
Sallebœuf,16,3298.6790878754173,44.839188,-0.39839650000000004
Salles,77,3247.3636363636365,44.55101,-0.866556
Saucats,26,2875.6615240766714,44.654679,-0.599761
Sauveterre-de-Guyenne,15,1420.0,44.693335,-0.085327
Soulac-sur-Mer,113,3988.095238095238,45.508796000000004,-1.121761
Soussans,17,2546.5116279069766,45.053568999999996,-0.7019985
Tabanac,10,2564.2857142857147,44.7305245,-0.416988
Talence,627,4030.3030303030314,44.81084,-0.587279
Targon,12,2320.8510638297876,44.734604000000004,-0.2644535
Tauriac,17,1792.957746478873,45.048986,-0.503548
Toulenne,33,2211.1111111111118,44.557826500000004,-0.266959
Tresses,31,3099.333333333333,44.845391,-0.468013
Val de Virvée,25,2436.9747899159665,45.017894,-0.380365
Vayres,59,2437.5,44.905079,-0.322257
Vendays-Montalivet,37,3592.4210526315787,45.374785,-1.142875
Verdelais,13,1411.3475177304963,44.587328,-0.253613
Villegouge,10,2156.5349544072947,44.967811,-0.308446
Villenave-d'Ornon,508,3343.870005189414,44.775215,-0.566289
Virsac,11,2693.877551020408,45.023796,-0.442436
Yvrac,28,2897.4502060439563,44.8732105,-0.468322
Étauliers,25,1320.0,45.223397,-0.573433
